"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Influenza","Influenza activity","Intensity","-","2006-W47","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W48","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W49","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W50","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W51","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2006-W52","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W01","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W02","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W03","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W04","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W05","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W06","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W07","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W08","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W09","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W10","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W11","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W12","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W13","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W14","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W15","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W16","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W17","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W18","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W19","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W20","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W21","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W22","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W23","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W24","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W25","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W26","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W27","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W28","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W29","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W30","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W31","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W32","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W33","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W34","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W35","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W36","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W37","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W38","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W39","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W40","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W41","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W42","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W43","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W44","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W45","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W46","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W47","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W48","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W49","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W50","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W51","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2007-W52","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W02","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W02","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W03","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W03","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W04","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W04","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W04","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W05","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W05","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W05","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W06","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W06","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W06","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W07","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W07","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W07","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W08","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W08","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W08","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W09","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W09","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W09","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W10","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W10","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W10","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W11","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W11","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W11","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W12","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W12","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W12","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W13","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W13","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W13","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W14","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W14","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W14","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W15","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W15","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W15","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W16","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W16","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W16","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W17","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W17","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W17","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W18","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W18","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W18","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W19","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W19","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W19","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W20","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W20","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W20","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W21","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W21","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W21","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W22","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W22","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W22","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W23","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W23","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W23","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W24","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W24","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W24","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W25","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W25","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W25","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W26","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W26","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W26","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W27","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W27","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W27","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W28","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W28","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W28","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W29","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W29","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W29","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W30","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W30","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W30","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W31","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W31","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W31","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W32","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W32","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W32","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W33","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W33","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W33","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W34","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W34","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W34","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W35","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W35","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W35","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W36","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W36","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W36","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W37","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W37","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W37","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W38","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W38","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W38","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W39","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W39","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W39","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W40","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W40","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W40","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W41","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W41","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W41","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W42","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W42","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W42","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W43","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W43","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W43","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W44","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W44","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W44","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W45","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W45","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W45","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W46","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W46","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W46","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W47","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W47","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W47","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W48","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W48","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W48","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W49","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W49","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W49","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W50","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W50","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W50","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W51","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W51","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W51","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2008-W52","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2008-W52","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2008-W52","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2009-W02","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2009-W02","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2009-W02","IE","Ireland",-,""
"Influenza","Influenza activity","Intensity","-","2009-W02","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2009-W03","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2009-W03","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2009-W03","IE","Ireland",-,""
"Influenza","Influenza activity","Intensity","-","2009-W03","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2009-W04","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2009-W04","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2009-W04","IE","Ireland",-,""
"Influenza","Influenza activity","Intensity","-","2009-W04","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2009-W05","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2009-W05","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2009-W05","IE","Ireland",-,""
"Influenza","Influenza activity","Intensity","-","2009-W05","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2009-W06","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2009-W06","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2009-W06","IE","Ireland",-,""
"Influenza","Influenza activity","Intensity","-","2009-W06","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2009-W06","SI","Slovenia",-,""
"Influenza","Influenza activity","Intensity","-","2009-W07","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2009-W07","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2009-W07","IE","Ireland",-,""
"Influenza","Influenza activity","Intensity","-","2009-W07","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2009-W07","SI","Slovenia",-,""
"Influenza","Influenza activity","Intensity","-","2009-W08","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2009-W08","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2009-W08","IE","Ireland",-,""
"Influenza","Influenza activity","Intensity","-","2009-W08","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2009-W08","SI","Slovenia",-,""
"Influenza","Influenza activity","Intensity","-","2009-W09","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2009-W09","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2009-W09","IE","Ireland",-,""
"Influenza","Influenza activity","Intensity","-","2009-W09","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2009-W09","SI","Slovenia",-,""
"Influenza","Influenza activity","Intensity","-","2009-W10","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2009-W10","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2009-W10","IE","Ireland",-,""
"Influenza","Influenza activity","Intensity","-","2009-W10","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2009-W10","SI","Slovenia",-,""
"Influenza","Influenza activity","Intensity","-","2009-W11","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2009-W11","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2009-W11","IE","Ireland",-,""
"Influenza","Influenza activity","Intensity","-","2009-W11","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2009-W11","SI","Slovenia",-,""
"Influenza","Influenza activity","Intensity","-","2009-W12","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2009-W12","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2009-W12","IE","Ireland",-,""
"Influenza","Influenza activity","Intensity","-","2009-W12","PL","Poland",-,""
"Influenza","Influenza activity","Intensity","-","2009-W12","SI","Slovenia",-,""
"Influenza","Influenza activity","Intensity","-","2009-W13","BE","Belgium",-,""
"Influenza","Influenza activity","Intensity","-","2009-W13","ES","Spain",-,""
"Influenza","Influenza activity","Intensity","-","2009-W13","IE","Ireland",-,""
